query_id,student_class,stream,state,timestamp,eligible_exams_count
15812af8fb,12,Science (PCM),Maharashtra,2026-02-05T10:40:12.347035,5
b469aa025e,9,Science (PCM),All-India,2026-02-05T11:00:30.147188,28
59efe835ad,8,Science (PCM),All-India,2026-02-05T11:07:48.639609,29
36fece7e94,8,Law,All-India,2026-02-05T11:08:13.289051,21
45593c1870,8,Law,All-India,2026-02-05T11:08:15.886274,21
543e75c7af,8,Commerce,All-India,2026-02-05T11:08:35.627598,22
fa82ee5113,8,All,All-India,2026-02-05T11:14:39.312425,2
10a9238aa9,8,Science (PCM),All-India,2026-02-05T11:22:48.041635,29
f57e105923,8,Science (PCM),All-India,2026-02-05T11:27:27.171238,29
59b0df151c,8,Science (PCM),All-India,2026-02-05T11:48:10.622917,29
6d805547d1,8,Science (PCMB),All-India,2026-02-05T11:48:42.810124,25
245de00ce7,UG,Hotel Management,All-India,2026-02-05T11:49:26.328268,11
7ef2175553,UG,Defence,All-India,2026-02-05T11:50:00.390841,13
712e4682f8,UG,Arts/Humanities,All-India,2026-02-05T11:50:22.574822,11
739a35f7f3,UG,Arts/Humanities,All-India,2026-02-05T11:50:27.537510,11
04e3bcbcff,UG,Arts/Humanities,All-India,2026-02-05T11:50:29.461346,11
efdf3dc7da,12,Arts/Humanities,All-India,2026-02-05T11:50:35.402162,15
aa31ea2005,12,Pharmacy,All-India,2026-02-05T11:50:51.867361,16
0254753f49,10,Pharmacy,All-India,2026-02-05T11:51:07.265818,19
404787bbbb,12,Science (PCB),All-India,2026-02-05T12:22:21.222752,16
a156ad6972,8,Science (PCM),All-India,2026-02-05T12:50:26.335804,29
b94fbfecb6,8,Science (PCM),All-India,2026-02-05T13:12:44.551457,29
73307b19f3,8,Science (PCM),All-India,2026-02-05T13:32:07.769033,29
093a4949e8,8,Education,All-India,2026-02-05T13:36:04.215794,21
1e2ccd4fcd,12,All,All-India,2026-02-05T13:37:27.696812,15
e29645a110,12,Science (PCM),All-India,2026-02-05T13:42:20.131360,25
5a1b38e422,12,Science (PCM),All-India,2026-02-05T13:42:29.643106,0
1135625b1a,12,Science (PCM),All-India,2026-02-05T13:42:56.346009,25
0a5e99f720,8,Science (PCM),All-India,2026-02-05T13:53:48.865407,29
62c7098f0f,8,Science (PCM),All-India,2026-02-05T13:57:33.549434,29
1c283c1e5a,12,Science (PCM),All-India,2026-02-05T13:57:40.178677,25
f0fcff0a13,12,Science (PCM),All-India,2026-02-05T13:57:43.466080,25
bd0268b60d,10,Agriculture,All-India,2026-02-05T14:55:38.502596,19
8ddfbb375c,10,Commerce,All-India,2026-02-05T14:56:12.910056,21
5f447525cd,12,Commerce,All-India,2026-02-05T14:56:23.813697,18
a1af46179c,12,Science (PCM),All-India,2026-02-05T14:56:47.621130,25
a760ef5c25,8,Law,All-India,2026-02-05T14:57:09.340684,21
3b4b840930,8,Law,All-India,2026-02-05T14:57:26.051188,21
7ce3438196,8,Law,All-India,2026-02-05T14:57:29.335011,21
f356a72ca9,8,Science (PCM),All-India,2026-02-05T15:30:02.273970,29
